Latitude,Longitude,Depth(m)
47.1391437251559,-122.556507671286,8.92
47.1391192073867,-122.556444791691,8.92
47.1390824307115,-122.556363946497,8.94
47.1390579129139,-122.556301066902,8.98
47.1390272656508,-122.556247170106,8.82
47.1390027478275,-122.556175307712,8.24
47.1389721005325,-122.556094462518,8.20
47.1389537121469,-122.556031582923,8.12
47.1389291942895,-122.555968703328,8.63
47.1389169353565,-122.555905823733,8.94
47.1388985469518,-122.555833961339,9.40
47.1388801585406,-122.555771081744,9.70
47.138861770123,-122.555708202149,9.79
47.138843381699,-122.555636339755,9.62
47.1388249932687,-122.55557346016,9.28
47.1388127343116,-122.555501597766,9.17
47.1387943458705,-122.555429735371,8.43
47.1387759574231,-122.555366855776,7.93
47.1387636984546,-122.555294993382,7.51
47.1387453099965,-122.555223130988,7.15
47.1387330510208,-122.555160251393,6.75
47.1387146625521,-122.555088388998,6.56
47.1387024035694,-122.555025509403,6.39
47.1386840150899,-122.554953647009,6.03
47.1386656266041,-122.554881784615,5.88
47.138641108613,-122.55481890502,5.88
47.1386227201123,-122.554756025425,6.01
47.1385982021013,-122.55469314583,6.09
47.1385859430916,-122.554621283435,6.12
47.1385675545716,-122.554549421041,6.18
47.1385552955547,-122.554486541446,6.31
47.1385369070241,-122.554423661851,6.60
47.1385123889733,-122.554351799457,7.44
47.1384940004278,-122.554279937063,8.37
47.1384756118758,-122.554217057468,8.88
47.1384572233175,-122.554145195073,8.73
47.138444964275,-122.554073332679,8.35
47.138426575706,-122.554010453084,7.78
47.138402057604,-122.55393859069,7.80
47.1383775394907,-122.553875711095,7.74
47.1383652804297,-122.5538128315,7.11
47.1383530213659,-122.553740969105,6.41
47.138346891833,-122.553669106711,5.65
47.1383285032298,-122.553597244317,5.27
47.1383101146203,-122.553534364722,4.98
47.1382917260043,-122.553462502327,4.68
47.1382794669235,-122.553390639933,4.49
47.1382672078398,-122.55330979474,4.22
47.1382549487532,-122.553246915145,3.86
47.1382426896639,-122.55317505275,3.75
47.1382304305716,-122.553103190356,3.63
47.138212041928,-122.553040310761,3.63
47.1381997828286,-122.552968448367,3.63
47.1381813941743,-122.552896585972,3.63
47.1381691350678,-122.552824723578,3.69
47.1381568759585,-122.552752861184,3.78
47.1381384872893,-122.552689981589,3.92
47.1381200986136,-122.552618119194,4.09
47.1380894508066,-122.552573205198,4.74
47.1380404142784,-122.552555239599,5.91
47.1379913777047,-122.552582187997,6.71
47.1379546002446,-122.552618119194,7.34
47.1379178227589,-122.552654050392,8.39
47.1378810452475,-122.552707947187,10.04
47.1378442677106,-122.552752861184,11.54
47.1378074901481,-122.55279777518,13.31
47.13777071256,-122.552833706377,15.20
47.1377339349463,-122.552878620374,17.29
47.137697157307,-122.552914551571,19.13
47.1376665092547,-122.552959465567,21.02
47.1376297315685,-122.553013362363,22.35
47.1375929538566,-122.55305827636,23.47
47.1375561761192,-122.553103190356,25.07
47.1375132687265,-122.553148104352,26.06
47.1374764909336,-122.55318403555,26.53
47.1374274538366,-122.553219966747,27.27
47.137360027754,-122.553264880743,26.49
47.1373048608951,-122.553291829141,26.40
47.1372558236388,-122.55330979474,26.30
47.137206786337,-122.553336743137,26.55
47.1371577489897,-122.553372674335,26.15
